Time;GDP_2011;Ex_2011;Im_2011;Inv_current;Inv_index;Budget_in;Tax_pi;Tax_ndfl;Tax_nds;Tax_ndpi;Insurance;Budget_out;Out_general;Out_defense;Out_economy;Out_educ;Out_soc;Brent;IPC;Budget_in_r;Tax_pi_r;Tax_ndfl_r;Tax_nds_r;Tax_ndpi_r;Insurance_r;Budget_out_r;Out_general_r;Out_defense_r;Out_economy_r;Out_educ_r;Out_soc_r;INDEXDefl
2008q04;15462.42137;3962.589848;2502.125148;3106.5;223.7;3.82449E+12;4.97844E+11;4.78304E+11;1.98142E+11;3.28273E+11;5.59976E+11;5.24773E+12;4.35217E+11;4.23134E+11;1.08928E+12;6.01009E+11;1.11038E+12;54.89333333;1.024191504;4.70732E+12;6.12764E+11;5.88714E+11;2.43881E+11;4.04051E+11;6.8924E+11;6.4591E+12;5.35681E+11;5.20809E+11;1.34073E+12;7.39744E+11;1.3667E+12;81.24554934
2009q01;12454.79547;3380.615136;1733.754694;1224.3;88.2;3.03351E+12;3.55254E+11;3.38739E+11;3.28965E+11;1.8162E+11;4.718E+11;2.80707E+12;2.74573E+11;2.20644E+11;3.92919E+11;3.09904E+11;8.63351E+11;46.81666667;1.054946304;3.53928E+12;4.14485E+11;3.95217E+11;3.83813E+11;2.11902E+11;5.50463E+11;3.27509E+12;3.20353E+11;2.57432E+11;4.58431E+11;3.61574E+11;1.0073E+12;85.70969199
2009q02;13357.90149;4042.360942;2053.49966;1722.1;123.7;3.00915E+12;2.73675E+11;4.01097E+11;2.24642E+11;2.30941E+11;5.74775E+11;3.81261E+12;2.93205E+11;3.06622E+11;6.41563E+11;5.07181E+11;1.11014E+12;61.95333333;1.019120252;3.44499E+12;3.13314E+11;4.59192E+11;2.57179E+11;2.64391E+11;6.58025E+11;4.36482E+12;3.35672E+11;3.51033E+11;7.34486E+11;5.8064E+11;1.27093E+12;87.3484829
2009q03;14452.14531;4104.174238;2029.199785;2061;144.6;3.51234E+12;3.07981E+11;4.36233E+11;3.35997E+11;3.1763E+11;5.21125E+11;3.88422E+12;3.15552E+11;2.30469E+11;7.65864E+11;3.58553E+11;1.12854E+12;69.92;1.006;3.99708E+12;3.50486E+11;4.96438E+11;3.82368E+11;3.61467E+11;5.93046E+11;4.42029E+12;3.59102E+11;2.62276E+11;8.71562E+11;4.08037E+11;1.2843E+12;87.8725738
2009q04;15062.34372;4272.228921;2157.189324;2968.6;203.1;3.86567E+12;3.27735E+11;4.89753E+11;2.87306E+11;3.23646E+11;5.5339E+11;5.34345E+12;4.07229E+11;4.33455E+11;9.81934E+11;6.02234E+11;1.44409E+12;77.12666667;1.007012;4.36855E+12;3.70369E+11;5.53464E+11;3.2468E+11;3.65748E+11;6.25379E+11;6.03857E+12;4.60204E+11;4.89842E+11;1.10967E+12;6.80577E+11;1.63195E+12;88.48873628
2010q01;12961.75971;4001.554629;1932.362367;1242.6;83.9;3.46315E+12;3.86576E+11;3.58801E+11;4.07135E+11;3.30532E+11;4.56628E+11;3.22075E+12;2.96966E+11;2.73402E+11;3.76109E+11;3.35025E+11;1.19182E+12;77.12666667;1.031294864;3.7949E+12;4.23608E+11;3.93172E+11;4.46136E+11;3.62195E+11;5.0037E+11;3.52928E+12;3.25414E+11;2.99593E+11;4.12139E+11;3.67118E+11;1.306E+12;91.25797925
2010q02;14025.78922;4231.816296;2501.197931;1962.5;130.5;4.14034E+12;5.48748E+11;4.35338E+11;2.40434E+11;3.4683E+11;6.25199E+11;4.11045E+12;3.18209E+11;2.89795E+11;4.14851E+11;5.2552E+11;1.52125E+12;78.87;1.01204706;4.48296E+12;5.94157E+11;4.71362E+11;2.6033E+11;3.7553E+11;6.76935E+11;4.45059E+12;3.44541E+11;3.13776E+11;4.4918E+11;5.69007E+11;1.64713E+12;92.3573696
2010q03;15005.10699;4176.013178;2731.824883;2361.1;152.2;3.81592E+12;4.0693E+11;4.47378E+11;3.32745E+11;3.47884E+11;5.74731E+11;3.97856E+12;3.48733E+11;2.21623E+11;5.47886E+11;3.75969E+11;1.40888E+12;78.26333333;1.018104192;4.05822E+12;4.32768E+11;4.75785E+11;3.53874E+11;3.69974E+11;6.11225E+11;4.23119E+12;3.70877E+11;2.35695E+11;5.82675E+11;3.99841E+11;1.49834E+12;94.02942515
2010q04;15827.41975;4436.75459;2810.689979;3585.2;225.7;4.29651E+12;4.32318E+11;5.48981E+11;3.48772E+11;3.81067E+11;6.22692E+11;5.99124E+12;4.74997E+11;4.94867E+11;9.85026E+11;6.57369E+11;1.74122E+12;84.355;1.02418344;4.46143E+12;4.48912E+11;5.70054E+11;3.6216E+11;3.95694E+11;6.46595E+11;6.22122E+12;4.9323E+11;5.13862E+11;1.02284E+12;6.82602E+11;1.80806E+12;96.30338012
2011q01;13386.1;3971.6;2480.1;1422;87.4;4.39249E+12;5.60801E+11;3.98328E+11;4.31185E+11;4.40575E+11;7.28538E+11;3.57545E+12;2.31607E+11;2.62339E+11;3.47702E+11;3.74747E+11;1.4191E+12;109.9433333;1.038385152;4.39249E+12;5.60801E+11;3.98328E+11;4.31185E+11;4.40575E+11;7.28538E+11;3.57545E+12;2.31607E+11;2.62339E+11;3.47702E+11;3.74747E+11;1.4191E+12;100
2011q02;14487.8;4293.3;3082;2306;140.6;5.49261E+12;6.91353E+11;4.87396E+11;4.57981E+11;5.23043E+11;9.5073E+11;4.56327E+12;3.20424E+11;3.6268E+11;5.51522E+11;5.95311E+11;1.58122E+12;111.3933333;1.01103804;5.43264E+12;6.83805E+11;4.82075E+11;4.52981E+11;5.17333E+11;9.40351E+11;4.51345E+12;3.16926E+11;3.5872E+11;5.45501E+11;5.88812E+11;1.56395E+12;101.103804
